t,I,R,D
0,2,0,0
1,1,0,0
2,4,0,0
3,10,0,0
4,13,1,0
5,16,0,0
6,3,0,1
7,12,0,3
8,47,0,3
9,29,0,3
10,2,0,1
11,45,3,0
12,15,0,7
13,15,3,2
14,13,0,1
15,77,5,1
16,73,4,6
17,82,0,8
18,90,3,2
19,84,6,3
20,71,2,7
21,96,3,9
22,272,4,14
23,343,7,3
24,128,0,7
25,538,7,10
26,227,1,8
27,322,1,11
28,385,1,29
29,76,5,8
30,152,7,8
31,414,9,11
32,104,11,14
33,106,12,5
34,206,28,21
35,119,16,18
36,233,17,26
37,220,40,50
38,284,45,18
39,291,53,20
40,230,58,14
41,207,82,13
42,218,52,25
43,209,29,10
44,172,56,12
45,200,41,19
46,140,41,9
47,111,39,9
48,271,29,16
49,211,40,15
50,102,30,17
51,285,70,7
52,198,70,10
53,181,43,19
54,254,48,28
55,276,20,10
56,284,41,11
57,156,40,24
58,295,90,4
59,262,101,16
60,199,93,14
61,320,98,21
62,339,112,27
63,120,116,11
64,147,108,8
65,184,82,15
66,292,75,7
67,264,107,25
68,268,145,21
69,258,86,18
70,215,123,16
71,214,101,11
72,208,74,7
73,205,94,7
74,224,114,6
75,279,89,5
76,213,68,4
77,163,92,11
78,180,85,6
79,258,72,5
80,284,74,5
81,350,89,13
82,380,94,18
83,539,92,17
84,1046,122,21
85,590,88,8
86,862,101,7
87,552,70,3
88,359,84,6
89,751,90,8
90,634,95,10
91,244,82,3
92,714,111,7
93,555,89,9
94,579,107,8
95,518,99,6
96,740,159,10
97,443,270,9
98,612,289,16
99,605,252,22
100,538,248,14
101,490,298,10
102,361,300,5
103,457,268,5
104,561,270,8
105,660,288,14
106,941,272,20
107,652,243,19
108,630,250,8
109,1143,299,9
110,470,214,18
111,774,254,8
112,1004,272,12
113,730,248,12
114,652,256,8
115,983,270,11
116,1076,277,11
117,997,205,4
118,294,235,4
119,1531,400,6
120,1494,380,10
121,2424,489,7
122,2079,243,6
123,1540,201,6
124,2486,202,5
125,1395,225,0
126,1160,417,46
127,1308,807,12
128,2037,2009,162
129,747,4325,65
130,539,88,4
131,1305,517,11
132,2416,464,29
133,1735,308,17
134,2303,319,113
135,2152,398,58
136,1442,607,4
137,1866,209,2
138,1505,342,6
139,2121,760,28
140,2054,119,8
141,1968,1250,18
142,2036,358,35
143,1592,336,13
144,1633,171,2
145,1813,379,15
146,3888,38068,21
147,3980,114,40
148,4878,87,16
149,4953,292,20
150,3145,264,45
151,6263,228,11
152,3387,221,8
153,3480,567,27
154,3294,15,18
155,4131,265,41
156,3028,556,61
157,6725,486,24
158,2900,273,18
159,4211,565,92
160,3777,1390,22
161,6134,1018,16
162,4258,804,158
163,3335,40377,65
164,3221,173,16
165,4739,102,6
166,4561,620,108
167,4248,633,88
168,4343,405,57
169,4884,402,26
170,2352,16446,32
171,4651,675,12
172,2912,354,28
173,5197,1064,99
174,3220,530,97
175,3963,484,91
176,3587,627,94
177,4265,22302,101
178,3423,159,38
179,3445,450,39
180,2176,598,26
181,1963,865,65
182,3669,1074,49
183,2498,1119,53
184,2795,23019,85
185,1362,219,15
186,3260,272,26
187,3156,365,70
188,3804,515,80
189,4017,548,42
190,4899,510,184
191,3353,20452,79
192,4672,64,259
193,3519,152,33
194,3527,506,69
195,3355,238,53
196,3237,694,45
197,3934,1095,100
198,3283,19980,54
199,3447,368,15
200,1599,410,50
201,2802,730,42
202,2164,555,36
203,2606,471,69
204,1895,507,88
205,2970,19604,60
206,3062,155,37
207,2015,265,67
208,2391,558,56
209,2385,735,58
210,2599,394,54
211,2652,429,62
212,3167,18033,98
213,2265,44,64
214,2071,190,25
215,2804,410,60
216,2232,595,144
217,2901,989,83
218,2156,787,86
219,2415,16981,83
220,3475,77,11
221,1897,231,40
222,1823,477,77
223,2162,301,48
224,3052,704,34
225,2588,447,72
226,2280,14846,49
227,2551,145,23
228,1606,339,15
229,1468,864,57
230,1645,827,36
231,1911,358,132
232,2020,421,19
233,2209,14924,43
234,1602,222,62
235,1514,344,14
236,2036,509,61
237,1755,737,33
238,1998,609,38
239,1796,589,36
240,2384,17714,17
241,2287,70,31
242,1761,137,49
243,976,124,49
244,1588,452,42
245,2084,431,52
246,2152,242,24
247,2434,11422,54
248,2054,146,108
249,1300,135,14
250,1667,298,49
251,1404,200,11
252,1893,486,31
253,1624,165,39
254,1501,11261,41
255,1736,37,7
256,1144,177,23
257,1379,123,95
258,1333,273,41
259,1637,298,27
260,1785,311,55
261,1966,10938,43
262,1796,118,50
263,1108,188,12
264,1193,163,30
265,1382,311,27
266,1621,350,13
267,1879,446,78
268,2067,10562,40
269,1766,34,19
270,1295,124,26
271,1432,223,18
272,1056,320,10
273,932,20,63
274,1724,237,17
275,1765,9052,28
276,1565,68,18
277,1386,88,98
278,1379,152,7
279,1376,116,24
280,1499,271,8
281,1292,104,21
282,1069,9254,3
283,1333,36,24
284,1106,144,55
285,1149,415,21
286,1459,620,17
287,2115,764,25
288,1482,420,36
289,1745,8048,36
290,1716,73,10
291,1310,212,64
292,1189,553,27
293,1720,518,7
294,1877,301,7
295,1404,264,5
296,881,7623,42
297,764,102,15
298,876,236,38
299,1006,493,68
300,1532,287,14
301,1756,99,4
302,1096,47,5
303,891,8316,4
304,954,21,6
305,932,96,58
