t,I,R,M
0,4,0,0
1,10,0,0
2,8,1,0
3,10,0,1
4,4,0,0
5,7,0,0
6,14,0,0
7,5,1,0
8,19,0,0
9,22,0,0
10,20,5,1
11,4,0,0
12,39,1,0
13,10,11,0
14,26,5,2
15,4,0,0
16,18,8,1
17,6,2,0
18,16,9,1
19,22,0,0
20,12,7,1
21,17,7,0
22,13,12,3
23,5,15,0
24,20,6,0
25,30,8,1
26,34,29,1
27,35,24,1
28,51,7,4
29,49,7,2
30,85,4,2
31,38,18,1
32,0,0,0
33,208,9,6
34,108,0,3
35,114,11,1
36,87,14,3
37,91,17,5
38,64,16,0
39,195,0,4
40,196,52,7
41,204,12,7
42,238,32,10
43,218,0,17
44,170,49,2
45,244,17,6
46,148,64,5
47,195,53,5
48,381,67,4
49,386,78,10
50,239,66,11
51,248,33,15
52,242,124,7
53,146,57,8
54,184,111,6
55,191,110,3
56,288,140,4
57,171,152,5
58,338,122,6
59,216,50,9
60,226,90,1
61,276,106,8
62,339,67,11
63,245,100,10
64,265,167,0
65,313,89,5
66,229,48,7
67,276,74,16
68,389,116,5
69,182,91,5
70,387,105,2
71,553,159,12
72,307,151,14
73,416,115,12
74,241,118,15
75,347,89,1
76,350,206,8
77,328,161,10
78,389,130,9
79,253,133,12
80,315,81,7
81,663,166,4
82,409,145,17
83,681,143,5
84,627,397,12
85,501,210,8
86,403,119,13
87,573,129,4
88,490,274,31
89,587,344,14
90,745,340,6
91,667,274,12
92,661,137,19
93,436,161,12
94,675,230,7
95,452,229,8
96,649,275,9
97,594,209,7
98,684,431,5
99,779,372,4
100,490,382,7
101,566,395,8
102,561,344,17
103,790,406,13
104,626,649,13
105,454,268,12
106,603,393,6
107,544,203,11
108,575,163,9
109,503,280,15
110,460,265,15
111,499,173,5
112,575,249,20
113,664,308,15
114,571,344,16
115,595,224,4
116,463,121,10
117,643,207,6
118,595,293,9
119,600,341,3
120,653,305,6
121,556,167,11
122,562,228,12
123,576,344,4
124,543,138,8
125,604,246,20
126,591,498,12
127,438,389,11
128,555,426,2
129,648,829,2
130,624,561,8
131,404,240,5
132,481,266,5
133,462,295,1
134,386,522,4
135,304,221,5
136,288,355,8
137,304,11188,14
138,457,314,17
139,354,265,3
140,443,207,6
141,453,407,6
142,437,142,3
143,290,160,5
144,423,263,6
145,453,334,0
146,373,366,10
147,329,1689,7
148,325,292,1
149,298,207,1
150,417,337,2
151,410,217,4
152,593,253,4
153,476,265,7
154,340,316,4
155,601,882,1
156,322,178,5
157,321,312,2
158,252,707,3
159,221,317,3
160,296,445,1
161,160,291,0
162,250,297,0
163,138,199,2
164,143,125,0
165,239,372,10
166,216,429,4
167,125,188,21
168,155,189,3
169,162,106,3
170,100,91,3
171,155,218,4
172,296,103,6
173,176,276,3
174,197,200,5
175,188,188,1
176,160,90,2
177,79,64,4
178,132,185,1
179,90,93,5
180,126,3442,3
181,131,220,2
182,221,213,1
183,189,126,1
184,97,138,3
185,195,105,2
186,176,162,0
187,111,149,2
188,125,113,0
189,213,508,1
190,136,116,3
191,126,72,2
192,136,101,3
193,187,42,0
194,201,421,1
195,153,94,0
196,126,141,0
197,160,125,1
198,58,50,0
199,120,183,0
200,118,357,0
201,155,95,0
202,103,148,0
203,151,63,0
204,111,97,2
205,163,24,0
206,164,208,0
207,225,63,1
208,179,137,0
209,148,51,0
210,212,110,3
211,113,4253,4
212,133,54,2
213,118,86,0
214,72,100,0
215,37,83,0
216,138,105,2
217,77,205,2
218,48,95,0
219,62,180,1
220,119,106,2
221,113,345,3
222,147,179,4
223,150,154,2
224,170,181,3
225,162,245,0
226,111,115,2
227,72,538,1
228,137,306,4
229,155,41,4
230,180,73,0
231,223,96,0
232,59,40,0
233,300,26,1
234,94,159,4
235,152,264,2
236,180,404,2
237,212,53,0
238,156,146,1
239,112,93,0
240,152,44,0
241,157,89,0
242,152,175,0
243,236,120,0
244,146,116,2
245,143,209,0
246,246,102,1
247,155,192,1
248,56,165,1
249,168,70,1
250,198,182,0
251,169,92,0
252,246,101,2
253,110,133,0
254,82,236,2
255,145,227,0
256,281,148,3
257,122,409,1
258,343,452,2
259,324,176,0
260,310,183,1
261,318,124,0
262,390,173,1
263,550,163,1
264,474,132,2
265,675,232,6
266,796,248,0
267,617,128,4
268,418,240,3
269,199,224,0
270,758,180,3
271,930,281,0
272,1145,335,1
273,806,374,11
274,920,300,6
275,501,519,3
276,356,190,6
277,999,386,4
278,1133,395,5
279,1041,377,6
280,784,597,4
281,829,247,1
282,838,539,7
283,397,323,10
284,749,580,3
285,1016,1385,11
286,1031,391,11
287,980,660,5
288,576,416,8
289,917,255,9
290,1271,655,7
291,1354,697,1
